variable,category,subcommunity,community,prop,min_ci,max_ci
RACE,,C4_15,C4,0.023255813953488372,0.004116981177419918,0.12059267861216882
ETHNICITY,Not Hispanic or Latino,C1_0,C1,0.9645051194539249,0.953750134638876,0.9728303761527574
ETHNICITY,,C1_0,C1,0.015017064846416382,0.009937680837848897,0.022633292097558155
ETHNICITY,Hispanic or Latino,C1_0,C1,0.014334470989761093,0.009394499428400357,0.021814856297908046
ETHNICITY,Other/Unknown,C1_0,C1,0.0061433447098976105,0.003235347246870776,0.011634601970253792
ETHNICITY,Not Hispanic or Latino,C1_1,C1,0.9632107023411371,0.9487847939546323,0.973685926758088
ETHNICITY,Hispanic or Latino,C1_1,C1,0.013377926421404682,0.007668970697730353,0.023237239672661066
ETHNICITY,,C1_1,C1,0.012263099219620958,0.0068610355797458404,0.021825028651746133
ETHNICITY,Other/Unknown,C1_1,C1,0.008918617614269788,0.004525940757372641,0.017499685057420993
ETHNICITY,Hispanic,C1_1,C1,0.002229654403567447,0.0006116519545936653,0.008093097026803284
ETHNICITY,Not Hispanic or Latino,C1_2,C1,0.9713477184294305,0.9645292634948929,0.9768868863878838
ETHNICITY,Hispanic or Latino,C1_2,C1,0.010611956137247965,0.007443429629005052,0.015108732950490738
ETHNICITY,,C1_2,C1,0.009904492394764769,0.0068614612796522095,0.014277693945422904
ETHNICITY,Other/Unknown,C1_2,C1,0.007428369296073576,0.004863763300404871,0.01132986618419787
ETHNICITY,Hispanic,C1_2,C1,0.0007074637424831977,0.00019402945795688668,0.002576030159649411
ETHNICITY,Not Hispanic or Latino,C1_3,C1,0.9631120053655265,0.9522928251402131,0.9715508784334633
ETHNICITY,,C1_3,C1,0.01609657947686117,0.010840371666895221,0.023839958342652283
ETHNICITY,Other/Unknown,C1_3,C1,0.012072434607645875,0.007649849769358395,0.019002873836942102
ETHNICITY,Hispanic or Latino,C1_3,C1,0.008718980549966466,0.0051024273982473315,0.014860624205347329
ETHNICITY,Not Hispanic or Latino,C2_0,C2,0.9406047516198704,0.9234831842882057,0.954085640337408
ETHNICITY,,C2_0,C2,0.05183585313174946,0.03931784340937504,0.06805700409153263
ETHNICITY,Hispanic or Latino,C2_0,C2,0.005399568034557235,0.002308478281960899,0.01257749799614926
